Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"One Sweet Day (feat. Boyz II Men)","Mariah Carey","美夢成真","All","Playlist","USSM19501117","169962196"
"Without You","Mariah Carey","Music Box: 30th Anniversary Edition","All","Playlist","USSM19303176","1703283258"
"Copenhagener Eisenbahn-Dampf Galopp","馬利斯・楊頌斯 & 維也納愛樂","New Year's Concert 2012 (Neujahrskonzert 2012)","All","Playlist","USSM11103112","548977623"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson","Uptown Special","All","Playlist","GBARL1401524","943946671"
"Misery","魔力紅樂團","Hands All Over","All","Playlist","USUM71015280","1440855977"
"Moves Like Jagger (feat. Christina Aguilera) [Studio Recording From The Voice Performance]","魔力紅樂團","Overexposed (Deluxe Version)","All","Playlist","USUM71109132","1440713478"
"Nobody's Love","魔力紅樂團","JORDI (Deluxe)","All","Playlist","USUM72013111","1570532654"
"Lucky Strike","魔力紅樂團","Overexposed","All","Playlist","USUM71204772","1440806736"
"Payphone (feat. Wiz Khalifa)","魔力紅樂團","Overexposed","All","Playlist","USUM71203347","1440751491"
"Don't Wanna Know (feat. Kendrick Lamar)","魔力紅樂團","Red Pill Blues","All","Playlist","USUM71609975","1396384699"
"Girls Like You (feat. Cardi B)","魔力紅樂團","Red Pill Blues (Deluxe)","All","Playlist","USUM71805272","1396381984"
"Wait","魔力紅樂團","Red Pill Blues (Deluxe)","All","Playlist","USUM71710370","1396381964"
"What Lovers Do (feat. SZA)","魔力紅樂團","Red Pill Blues (Deluxe)","All","Playlist","USUM71709292","1396381963"
"This Love","魔力紅樂團","Songs About Jane: 10th Anniversary Edition","All","Playlist","USJAY0300080","1428782513"
"Animals","魔力紅樂團","V (Deluxe)","All","Playlist","USUM71409576","1422651844"
"Maps","魔力紅樂團","V (Deluxe)","All","Playlist","USUM71407116","1422651836"
"Sugar","魔力紅樂團","V (Deluxe)","All","Playlist","USUM71410340","1422652341"
"Beautiful Mistakes","魔力紅樂團 & Megan Thee Stallion","JORDI (Deluxe Edition)","All","Playlist","USUM72103449","1571175892"
"Alone","Marshmello","Alone - Single","All","Playlist","CA6D21600147","1110087159"
